file,class,method_x_x,ATFD_x,ATLD_x,LAA_x,FDP_x,line_x,method_y,fanin_x,fanout_x,wmc_x,loc_x,returnsQty_x,variablesQty_x,parametersQty_x,loopQty_x,anonymousClassesQty_x,innerClassesQty_x,method_x_y,ATFD_y,ATLD_y,LAA_y,FDP_y,line_y,fanin_y,fanout_y,wmc_y,loc_y,returnsQty_y,variablesQty_y,parametersQty_y,loopQty_y,anonymousClassesQty_y,innerClassesQty_y
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\RequestBuilder.java,retrofit.RequestBuilder,"addEncodedPathParam/2[java.lang.String,java.lang.String]",0.0,0.0,-1.0,0.0,118,"addEncodedPathParam/2[java.lang.String,java.lang.String]",1,1,1,3,0,0,2,0,0,0,"addEncodedPathParam/2[java.lang.String,java.lang.String]",0.0,0.0,-1.0,0.0,115,1,1,1,3,0,0,2,0,0,0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\RequestBuilder.java,retrofit.RequestBuilder,"addEncodedQueryParam/2[java.lang.String,java.lang.String]",0.0,0.0,-1.0,0.0,151,"addEncodedQueryParam/2[java.lang.String,java.lang.String]",0,1,1,3,0,0,2,0,0,0,"addEncodedQueryParam/2[java.lang.String,java.lang.String]",0.0,0.0,-1.0,0.0,148,0,1,1,3,0,0,2,0,0,0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\RequestBuilder.java,retrofit.RequestBuilder,"addHeader/2[java.lang.String,java.lang.String]",0.0,3.0,1.0,0.0,98,"addHeader/2[java.lang.String,java.lang.String]",2,1,4,14,1,1,2,0,0,0,"addHeader/2[java.lang.String,java.lang.String]",0.0,3.0,1.0,0.0,96,3,1,4,13,0,1,2,0,0,0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\RequestBuilder.java,retrofit.RequestBuilder,"addPathParam/2[java.lang.String,java.lang.String]",0.0,0.0,-1.0,0.0,114,"addPathParam/2[java.lang.String,java.lang.String]",2,1,1,3,0,0,2,0,0,0,"addPathParam/2[java.lang.String,java.lang.String]",0.0,0.0,-1.0,0.0,111,2,1,1,3,0,0,2,0,0,0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\RequestBuilder.java,retrofit.RequestBuilder,"addPathParam/3[java.lang.String,java.lang.String,boolean]",0.0,2.0,1.0,0.0,122,"addPathParam/3[java.lang.String,java.lang.String,boolean]",2,0,5,21,0,1,3,0,0,0,"addPathParam/3[java.lang.String,java.lang.String,boolean]",0.0,2.0,1.0,0.0,119,2,0,5,21,0,1,3,0,0,0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\RequestBuilder.java,retrofit.RequestBuilder,"addQueryParam/2[java.lang.String,java.lang.String]",0.0,0.0,-1.0,0.0,147,"addQueryParam/2[java.lang.String,java.lang.String]",1,1,1,3,0,0,2,0,0,0,"addQueryParam/2[java.lang.String,java.lang.String]",0.0,0.0,-1.0,0.0,144,1,1,1,3,0,0,2,0,0,0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\RequestBuilder.java,retrofit.RequestBuilder,"addQueryParam/3[java.lang.String,java.lang.String,boolean]",0.0,2.0,1.0,0.0,155,"addQueryParam/3[java.lang.String,java.lang.String,boolean]",3,0,7,22,0,1,3,0,0,0,"addQueryParam/3[java.lang.String,java.lang.String,boolean]",0.0,2.0,1.0,0.0,152,3,0,7,22,0,1,3,0,0,0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\RequestBuilder.java,retrofit.RequestBuilder,build/0,1.0,9.0,0.9,1.0,319,build/0,3,3,7,20,1,4,0,0,0,0,build/0,1.0,8.0,0.8888889,1.0,316,3,5,8,26,1,5,0,0,0,0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\RequestBuilder.java,retrofit.RequestBuilder,setArguments/1[java.lang.Object[]],27.0,6.0,0.18181819,5.0,179,setArguments/1[java.lang.Object[]],3,8,50,146,1,17,1,8,0,0,setArguments/1[java.lang.Object[]],27.0,6.0,0.18181819,5.0,176,3,8,50,146,1,17,1,8,0,0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\RequestBuilder.java,retrofit.RequestBuilder,"RequestBuilder/3[java.lang.String,retrofit.RestMethodInfo,retrofit.converter.Converter]",15.0,21.0,0.5833333,2.0,55,"RequestBuilder/3[java.lang.String,retrofit.RestMethodInfo,retrofit.converter.Converter]",3,2,6,36,0,1,3,0,0,0,"RequestBuilder/3[java.lang.String,retrofit.RestMethodInfo,retrofit.converter.Converter]",15.0,21.0,0.5833333,2.0,53,3,2,6,36,0,1,3,0,0,0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\Profiler.java,retrofit.Profiler.RequestInformation,getBaseUrl/0,0.0,1.0,1.0,0.0,69,getBaseUrl/0,0,0,1,3,1,0,0,0,0,0,getBaseUrl/0,0.0,1.0,1.0,0.0,69,0,0,1,3,1,0,0,0,0,0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\Profiler.java,retrofit.Profiler.RequestInformation,getContentLength/0,0.0,1.0,1.0,0.0,79,getContentLength/0,0,0,1,3,1,0,0,0,0,0,getContentLength/0,0.0,1.0,1.0,0.0,79,0,0,1,3,1,0,0,0,0,0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\Profiler.java,retrofit.Profiler.RequestInformation,getContentType/0,0.0,1.0,1.0,0.0,84,getContentType/0,0,0,1,3,1,0,0,0,0,0,getContentType/0,0.0,1.0,1.0,0.0,84,0,0,1,3,1,0,0,0,0,0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\Profiler.java,retrofit.Profiler.RequestInformation,getMethod/0,0.0,1.0,1.0,0.0,64,getMethod/0,0,0,1,3,1,0,0,0,0,0,getMethod/0,0.0,1.0,1.0,0.0,64,0,0,1,3,1,0,0,0,0,0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\Profiler.java,retrofit.Profiler.RequestInformation,getRelativePath/0,0.0,1.0,1.0,0.0,74,getRelativePath/0,0,0,1,3,1,0,0,0,0,0,getRelativePath/0,0.0,1.0,1.0,0.0,74,0,0,1,3,1,0,0,0,0,0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\Profiler.java,retrofit.Profiler.RequestInformation,"RequestInformation/5[java.lang.String,java.lang.String,java.lang.String,long,java.lang.String]",0.0,5.0,1.0,0.0,54,"RequestInformation/5[java.lang.String,java.lang.String,java.lang.String,long,java.lang.String]",1,0,1,7,0,0,5,0,0,0,"RequestInformation/5[java.lang.String,java.lang.String,java.lang.String,long,java.lang.String]",0.0,5.0,1.0,0.0,54,1,0,1,7,0,0,5,0,0,0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\RestMethodInfoTest.java,retrofit.RestMethodInfoTest.59Example,a/0,0.0,0.0,-1.0,0.0,1031,a/0,0,0,1,3,1,0,0,0,0,0,a/0,0.0,0.0,-1.0,0.0,1036,0,0,1,3,1,0,0,0,0,0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\client\Request.java,retrofit.client.Request,getBody/0,0.0,1.0,1.0,0.0,65,getBody/0,50,0,1,3,1,0,0,0,0,0,getBody/0,0.0,1.0,1.0,0.0,65,47,0,1,3,1,0,0,0,0,0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\client\Request.java,retrofit.client.Request,getHeaders/0,0.0,1.0,1.0,0.0,60,getHeaders/0,41,0,1,3,1,0,0,0,0,0,getHeaders/0,0.0,1.0,1.0,0.0,60,42,0,1,3,1,0,0,0,0,0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\client\Request.java,retrofit.client.Request,getMethod/0,0.0,1.0,1.0,0.0,50,getMethod/0,41,0,1,3,1,0,0,0,0,0,getMethod/0,0.0,1.0,1.0,0.0,50,40,0,1,3,1,0,0,0,0,0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\client\Request.java,retrofit.client.Request,getUrl/0,0.0,1.0,1.0,0.0,55,getUrl/0,50,0,1,3,1,0,0,0,0,0,getUrl/0,0.0,1.0,1.0,0.0,55,49,0,1,3,1,0,0,0,0,0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\client\Request.java,retrofit.client.Request,"Request/4[java.lang.String,java.lang.String,java.util.List,retrofit.mime.TypedOutput]",0.0,5.0,1.0,0.0,30,"Request/4[java.lang.String,java.lang.String,java.util.List,retrofit.mime.TypedOutput]",14,0,4,17,0,0,4,0,0,0,"Request/4[java.lang.String,java.lang.String,java.util.List,retrofit.mime.TypedOutput]",0.0,5.0,1.0,0.0,30,14,0,4,17,0,0,4,0,0,0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\RestMethodInfoTest.java,retrofit.RestMethodInfoTest.22Example,a/0,0.0,0.0,-1.0,0.0,404,a/0,0,0,1,3,1,0,0,0,0,0,a/0,0.0,0.0,-1.0,0.0,402,0,0,1,3,1,0,0,0,0,0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\TestingUtils.java,retrofit.TestingUtils,"assertBytes/2[byte[],java.lang.String]",0.0,0.0,-1.0,0.0,30,"assertBytes/2[byte[],java.lang.String]",8,0,1,3,0,0,2,0,0,0,"assertBytes/2[byte[],java.lang.String]",0.0,0.0,-1.0,0.0,30,8,0,1,3,0,0,2,0,0,0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\TestingUtils.java,retrofit.TestingUtils,createMultipart/1[java.util.Map],2.0,0.0,0.0,1.0,22,createMultipart/1[java.util.Map],3,2,2,7,1,1,1,1,0,0,createMultipart/1[java.util.Map],2.0,0.0,0.0,1.0,22,3,2,2,7,1,1,1,1,0,0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\TestingUtils.java,retrofit.TestingUtils,"getMethod/2[java.lang.Class,java.lang.String]",2.0,0.0,0.0,2.0,13,"getMethod/2[java.lang.Class,java.lang.String]",74,0,3,8,1,0,2,1,0,0,"getMethod/2[java.lang.Class,java.lang.String]",2.0,0.0,0.0,2.0,13,70,0,3,8,1,0,2,1,0,0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\ErrorHandlerTest.java,retrofit.ErrorHandlerTest.MockInvalidResponseClient,execute/1[retrofit.client.Request],0.0,0.0,-1.0,0.0,41,execute/1[retrofit.client.Request],0,1,1,3,1,0,1,0,0,0,execute/1[retrofit.client.Request],0.0,0.0,-1.0,0.0,41,0,1,1,3,1,0,1,0,0,0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\mime\MultipartTypedOutput.java,retrofit.mime.MultipartTypedOutput.MimePart,build/0,0.0,8.0,1.0,0.0,62,build/0,2,2,2,6,1,0,0,0,0,0,build/0,0.0,8.0,1.0,0.0,62,2,2,2,6,1,0,0,0,0,0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\mime\MultipartTypedOutput.java,retrofit.mime.MultipartTypedOutput.MimePart,size/0,2.0,0.0,0.0,1.0,53,size/0,1,2,2,9,2,0,0,0,0,0,size/0,2.0,0.0,0.0,1.0,53,1,2,2,9,2,0,0,0,0,0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\mime\MultipartTypedOutput.java,retrofit.mime.MultipartTypedOutput.MimePart,writeTo/1[java.io.OutputStream],0.0,2.0,1.0,0.0,46,writeTo/1[java.io.OutputStream],2,2,1,6,0,0,1,0,0,0,writeTo/1[java.io.OutputStream],0.0,2.0,1.0,0.0,46,2,2,1,6,0,0,1,0,0,0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\mime\MultipartTypedOutput.java,retrofit.mime.MultipartTypedOutput.MimePart,"MimePart/4[java.lang.String,retrofit.mime.TypedOutput,java.lang.String,boolean]",0.0,4.0,1.0,0.0,39,"MimePart/4[java.lang.String,retrofit.mime.TypedOutput,java.lang.String,boolean]",1,0,1,6,0,0,4,0,0,0,"MimePart/4[java.lang.String,retrofit.mime.TypedOutput,java.lang.String,boolean]",0.0,4.0,1.0,0.0,39,1,0,1,6,0,0,4,0,0,0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\RequestBuilderTest.java,retrofit.RequestBuilderTest.Helper,"addEncodedPathParam/2[java.lang.String,java.lang.String]",1.0,0.0,0.0,1.0,824,"addEncodedPathParam/2[java.lang.String,java.lang.String]",1,0,1,6,1,0,2,0,0,0,"addEncodedPathParam/2[java.lang.String,java.lang.String]",1.0,0.0,0.0,1.0,838,1,0,1,6,1,0,2,0,0,0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\RequestBuilderTest.java,retrofit.RequestBuilderTest.Helper,"addEncodedQueryMapParams/2[java.lang.String,java.util.Map]",1.0,0.0,0.0,1.0,852,"addEncodedQueryMapParams/2[java.lang.String,java.util.Map]",1,0,1,6,1,0,2,0,0,0,"addEncodedQueryMapParams/2[java.lang.String,java.util.Map]",1.0,0.0,0.0,1.0,866,1,0,1,6,1,0,2,0,0,0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\RequestBuilderTest.java,retrofit.RequestBuilderTest.Helper,"addEncodedQueryParam/2[java.lang.String,java.lang.String]",1.0,0.0,0.0,1.0,838,"addEncodedQueryParam/2[java.lang.String,java.lang.String]",1,0,1,6,1,0,2,0,0,0,"addEncodedQueryParam/2[java.lang.String,java.lang.String]",1.0,0.0,0.0,1.0,852,1,0,1,6,1,0,2,0,0,0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\RequestBuilderTest.java,retrofit.RequestBuilderTest.Helper,"addField/2[java.lang.String,java.lang.Object]",1.0,0.0,0.0,1.0,859,"addField/2[java.lang.String,java.lang.Object]",5,0,1,6,1,0,2,0,0,0,"addField/2[java.lang.String,java.lang.Object]",1.0,0.0,0.0,1.0,873,5,0,1,6,1,0,2,0,0,0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\RequestBuilderTest.java,retrofit.RequestBuilderTest.Helper,"addFieldMap/2[java.lang.String,java.util.Map]",1.0,0.0,0.0,1.0,866,"addFieldMap/2[java.lang.String,java.util.Map]",1,0,1,6,1,0,2,0,0,0,"addFieldMap/2[java.lang.String,java.util.Map]",1.0,0.0,0.0,1.0,880,1,0,1,6,1,0,2,0,0,0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\RequestBuilderTest.java,retrofit.RequestBuilderTest.Helper,"addHeaderParam/2[java.lang.String,java.lang.Object]",1.0,0.0,0.0,1.0,894,"addHeaderParam/2[java.lang.String,java.lang.Object]",4,0,1,6,1,0,2,0,0,0,"addHeaderParam/2[java.lang.String,java.lang.Object]",1.0,0.0,0.0,1.0,908,4,0,1,6,1,0,2,0,0,0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\RequestBuilderTest.java,retrofit.RequestBuilderTest.Helper,addHeaders/1[java.lang.String[]],0.0,1.0,1.0,0.0,901,addHeaders/1[java.lang.String[]],6,0,1,4,1,0,1,0,0,0,addHeaders/1[java.lang.String[]],0.0,1.0,1.0,0.0,915,6,0,1,4,1,0,1,0,0,0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\RequestBuilderTest.java,retrofit.RequestBuilderTest.Helper,"addInterceptorHeader/2[java.lang.String,java.lang.String]",0.0,0.0,-1.0,0.0,906,"addInterceptorHeader/2[java.lang.String,java.lang.String]",3,1,1,4,1,0,2,0,0,0,"addInterceptorHeader/2[java.lang.String,java.lang.String]",0.0,0.0,-1.0,0.0,920,3,1,1,4,1,0,2,0,0,0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\RequestBuilderTest.java,retrofit.RequestBuilderTest.Helper,"addInterceptorPathParam/2[java.lang.String,java.lang.String]",0.0,0.0,-1.0,0.0,911,"addInterceptorPathParam/2[java.lang.String,java.lang.String]",4,0,1,4,1,0,2,0,0,0,"addInterceptorPathParam/2[java.lang.String,java.lang.String]",0.0,0.0,-1.0,0.0,925,4,0,1,4,1,0,2,0,0,0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\RequestBuilderTest.java,retrofit.RequestBuilderTest.Helper,"addInterceptorQueryParam/2[java.lang.String,java.lang.String]",0.0,0.0,-1.0,0.0,916,"addInterceptorQueryParam/2[java.lang.String,java.lang.String]",4,0,1,4,1,0,2,0,0,0,"addInterceptorQueryParam/2[java.lang.String,java.lang.String]",0.0,0.0,-1.0,0.0,930,4,0,1,4,1,0,2,0,0,0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\RequestBuilderTest.java,retrofit.RequestBuilderTest.Helper,"addPart/2[java.lang.String,java.lang.Object]",1.0,0.0,0.0,1.0,873,"addPart/2[java.lang.String,java.lang.Object]",3,0,1,6,1,0,2,0,0,0,"addPart/2[java.lang.String,java.lang.Object]",1.0,0.0,0.0,1.0,887,3,0,1,6,1,0,2,0,0,0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\RequestBuilderTest.java,retrofit.RequestBuilderTest.Helper,"addPartMap/2[java.lang.String,java.util.Map]",1.0,0.0,0.0,1.0,880,"addPartMap/2[java.lang.String,java.util.Map]",1,0,1,6,1,0,2,0,0,0,"addPartMap/2[java.lang.String,java.util.Map]",1.0,0.0,0.0,1.0,894,1,0,1,6,1,0,2,0,0,0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\RequestBuilderTest.java,retrofit.RequestBuilderTest.Helper,"addPathParam/2[java.lang.String,java.lang.Object]",1.0,0.0,0.0,1.0,817,"addPathParam/2[java.lang.String,java.lang.Object]",11,0,1,6,1,0,2,0,0,0,"addPathParam/2[java.lang.String,java.lang.Object]",1.0,0.0,0.0,1.0,831,11,0,1,6,1,0,2,0,0,0
