file,class,method_x_x,ATFD_x,ATLD_x,LAA_x,FDP_x,line_x,method_y,fanin_x,fanout_x,wmc_x,loc_x,returnsQty_x,variablesQty_x,parametersQty_x,loopQty_x,anonymousClassesQty_x,innerClassesQty_x,method_x_y,ATFD_y,ATLD_y,LAA_y,FDP_y,line_y,fanin_y,fanout_y,wmc_y,loc_y,returnsQty_y,variablesQty_y,parametersQty_y,loopQty_y,anonymousClassesQty_y,innerClassesQty_y
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\payloads\PayloadsTest.java,ysoserial.payloads.PayloadsTest,payloads/0,3.0,0.0,0.0,3.0,59,payloads/0,0,1,1,5,1,1,0,0,0,0,payloads/0,3.0,0.0,0.0,3.0,45,0,1,1,5,1,1,0,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\payloads\PayloadsTest.java,ysoserial.payloads.PayloadsTest,testPayload/0,0.0,1.0,1.0,0.0,74,testPayload/0,0,1,1,3,0,0,0,0,0,0,testPayload/0,0.0,1.0,1.0,0.0,58,0,1,1,3,0,0,0,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\payloads\PayloadsTest.java,ysoserial.payloads.PayloadsTest,"testPayload/2[java.lang.Class,java.lang.Class[]]",11.0,1.0,0.083333336,9.0,79,"testPayload/2[java.lang.Class>,java.lang.Class[]]",4,17,13,54,1,12,2,0,0,0,"testPayload/2[java.lang.Class,java.lang.Class[]]",7.0,1.0,0.125,6.0,62,4,8,2,28,0,6,2,0,2,0
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\payloads\PayloadsTest.java,ysoserial.payloads.PayloadsTest,PayloadsTest/1[java.lang.Class],0.0,1.0,1.0,0.0,68,PayloadsTest/1[java.lang.Class>],0,0,1,3,0,0,1,0,0,0,PayloadsTest/1[java.lang.Class],0.0,1.0,1.0,0.0,53,0,0,1,3,0,0,1,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\CommonsCollections3.java,ysoserial.payloads.CommonsCollections3,getObject/1[java.lang.String],4.0,0.0,0.0,4.0,35,getObject/1[java.lang.String],0,4,1,11,1,7,1,0,0,0,getObject/1[java.lang.String],4.0,0.0,0.0,4.0,31,0,4,1,11,1,7,1,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\CommonsCollections3.java,ysoserial.payloads.CommonsCollections3,main/1[java.lang.String[]],0.0,1.0,1.0,0.0,61,main/1[java.lang.String[]],0,1,1,3,0,0,1,0,0,0,main/1[java.lang.String[]],0.0,1.0,1.0,0.0,57,0,1,1,3,0,0,1,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\exploit\RMIRegistryExploitTest.java,ysoserial.exploit.RMIRegistryExploitTest,createRegistry/1[int],0.0,0.0,-1.0,0.0,8,createRegistry/1[int],1,0,1,3,0,1,1,0,0,0,createRegistry/1[int],0.0,0.0,-1.0,0.0,8,1,0,1,3,0,1,1,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\exploit\RMIRegistryExploitTest.java,ysoserial.exploit.RMIRegistryExploitTest,main/1[java.lang.String[]],1.0,0.0,0.0,1.0,12,main/1[java.lang.String[]],0,1,4,6,0,2,1,1,0,0,main/1[java.lang.String[]],1.0,0.0,0.0,1.0,12,0,1,4,6,0,2,1,1,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\util\Gadgets.java,ysoserial.payloads.util.Gadgets.StubTransletPayload,"transform/3[com.sun.org.apache.xalan.internal.xsltc.DOM,com.sun.org.apache.xml.internal.dtm.DTMAxisIterator,com.sun.org.apache.xml.internal.serializer.SerializationHandler]",0.0,0.0,-1.0,0.0,55,"transform/3[ysoserial.payloads.util.DOM,ysoserial.payloads.util.DTMAxisIterator,ysoserial.payloads.util.SerializationHandler]",0,0,1,2,0,0,3,0,0,0,"transform/3[com.sun.org.apache.xalan.internal.xsltc.DOM,com.sun.org.apache.xml.internal.dtm.DTMAxisIterator,com.sun.org.apache.xml.internal.serializer.SerializationHandler]",0.0,0.0,-1.0,0.0,43,0,0,1,2,0,0,3,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\util\Gadgets.java,ysoserial.payloads.util.Gadgets.StubTransletPayload,"transform/2[com.sun.org.apache.xalan.internal.xsltc.DOM,com.sun.org.apache.xml.internal.serializer.SerializationHandler[]]",0.0,0.0,-1.0,0.0,51,"transform/2[ysoserial.payloads.util.DOM,ysoserial.payloads.util.SerializationHandler[]]",0,0,1,2,0,0,2,0,0,0,"transform/2[com.sun.org.apache.xalan.internal.xsltc.DOM,com.sun.org.apache.xml.internal.serializer.SerializationHandler[]]",0.0,0.0,-1.0,0.0,40,0,0,1,2,0,0,2,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\payloads\TestHarnessTest.java,ysoserial.payloads.TestHarnessTest,testHarnessClassLoaderFail/0,2.0,0.0,0.0,2.0,26,testHarnessClassLoaderFail/0,0,1,2,9,0,0,0,0,0,0,testHarnessClassLoaderFail/0,2.0,0.0,0.0,2.0,26,0,1,2,9,0,0,0,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\payloads\TestHarnessTest.java,ysoserial.payloads.TestHarnessTest,testHarnessExecFail/0,2.0,0.0,0.0,2.0,14,testHarnessExecFail/0,0,1,2,9,0,0,0,0,0,0,testHarnessExecFail/0,2.0,0.0,0.0,2.0,14,0,1,2,9,0,0,0,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\payloads\TestHarnessTest.java,ysoserial.payloads.TestHarnessTest,testHarnessExecPass/0,2.0,0.0,0.0,2.0,37,testHarnessExecPass/0,0,1,1,3,0,0,0,0,0,0,testHarnessExecPass/0,2.0,0.0,0.0,2.0,37,0,1,1,3,0,0,0,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\util\Gadgets.java,ysoserial.payloads.util.Gadgets,"createMap/2[java.lang.String,java.lang.Object]",0.0,0.0,-1.0,0.0,85,"createMap/2[java.lang.String,java.lang.Object]",4,0,1,5,1,1,2,0,0,0,"createMap/2[java.lang.String,java.lang.Object]",0.0,0.0,-1.0,0.0,69,2,0,1,5,1,1,2,0,0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\util\Gadgets.java,ysoserial.payloads.util.Gadgets,"createMemoitizedProxy/3[java.util.Map,java.lang.Class,java.lang.Class[]]",0.0,0.0,-1.0,0.0,65,"createMemoitizedProxy/3[java.util.Map,java.lang.Class,java.lang.Class[]]",0,2,1,3,1,0,3,0,0,0,"createMemoitizedProxy/3[java.util.Map,java.lang.Class,java.lang.Class[]]",0.0,0.0,-1.0,0.0,51,0,2,1,3,1,0,3,0,0,0
