file,class,method_x_x,ATFD_x,ATLD_x,LAA_x,FDP_x,line_x,method_y,fanin_x,fanout_x,wmc_x,loc_x,returnsQty_x,variablesQty_x,parametersQty_x,loopQty_x,anonymousClassesQty_x,innerClassesQty_x,method_x_y,ATFD_y,ATLD_y,LAA_y,FDP_y,line_y,fanin_y,fanout_y,wmc_y,loc_y,returnsQty_y,variablesQty_y,parametersQty_y,loopQty_y,anonymousClassesQty_y,innerClassesQty_y
C:\Users\syuuj\gitProject\webmagic\webmagic-core\src\main\java\us\codecraft\webmagic\selector\SmartContentSelector.java,us.codecraft.webmagic.selector.SmartContentSelector,select/1[java.lang.String],12.0,0.0,0.0,3.0,23,select/1[java.lang.String],0,0,16,55,1,16,1,4,0,0,select/1[java.lang.String],12.0,0.0,0.0,3.0,23,0,0,16,55,1,16,1,4,0,0
C:\Users\syuuj\gitProject\webmagic\webmagic-core\src\main\java\us\codecraft\webmagic\selector\SmartContentSelector.java,us.codecraft.webmagic.selector.SmartContentSelector,selectList/1[java.lang.String],0.0,0.0,-1.0,0.0,88,selectList/1[java.lang.String],0,0,1,3,0,0,1,0,0,0,selectList/1[java.lang.String],0.0,0.0,-1.0,0.0,88,0,0,1,3,0,0,1,0,0,0
C:\Users\syuuj\gitProject\webmagic\webmagic-core\src\main\java\us\codecraft\webmagic\selector\SmartContentSelector.java,us.codecraft.webmagic.selector.SmartContentSelector,SmartContentSelector/0,0.0,0.0,-1.0,0.0,19,SmartContentSelector/0,1,0,1,2,0,0,0,0,0,0,SmartContentSelector/0,0.0,0.0,-1.0,0.0,19,1,0,1,2,0,0,0,0,0,0
C:\Users\syuuj\gitProject\webmagic\webmagic-core\src\main\java\us\codecraft\webmagic\scheduler\PriorityScheduler.java,us.codecraft.webmagic.scheduler.PriorityScheduler,getLeftRequestsCount/1[us.codecraft.webmagic.Task],0.0,0.0,-1.0,0.0,65,getLeftRequestsCount/1[us.codecraft.webmagic.Task],0,0,1,3,1,0,1,0,0,0,getLeftRequestsCount/1[us.codecraft.webmagic.Task],0.0,0.0,-1.0,0.0,65,0,0,1,3,1,0,1,0,0,0
C:\Users\syuuj\gitProject\webmagic\webmagic-core\src\main\java\us\codecraft\webmagic\scheduler\PriorityScheduler.java,us.codecraft.webmagic.scheduler.PriorityScheduler,getTotalRequestsCount/1[us.codecraft.webmagic.Task],2.0,0.0,0.0,2.0,70,getTotalRequestsCount/1[us.codecraft.webmagic.Task],0,2,1,3,1,0,1,0,0,0,getTotalRequestsCount/1[us.codecraft.webmagic.Task],2.0,0.0,0.0,2.0,70,0,2,1,3,1,0,1,0,0,0
C:\Users\syuuj\gitProject\webmagic\webmagic-core\src\main\java\us\codecraft\webmagic\scheduler\PriorityScheduler.java,us.codecraft.webmagic.scheduler.PriorityScheduler,poll/1[us.codecraft.webmagic.Task],0.0,0.0,-1.0,0.0,52,poll/1[us.codecraft.webmagic.Task],2,0,3,11,3,1,1,0,0,0,poll/1[us.codecraft.webmagic.Task],0.0,0.0,-1.0,0.0,52,2,0,3,11,3,1,1,0,0,0
C:\Users\syuuj\gitProject\webmagic\webmagic-core\src\main\java\us\codecraft\webmagic\scheduler\PriorityScheduler.java,us.codecraft.webmagic.scheduler.PriorityScheduler,"pushWhenNoDuplicate/2[us.codecraft.webmagic.Request,us.codecraft.webmagic.Task]",2.0,0.0,0.0,1.0,41,"pushWhenNoDuplicate/2[us.codecraft.webmagic.Request,us.codecraft.webmagic.Task]",0,1,3,11,0,0,2,0,0,0,"pushWhenNoDuplicate/2[us.codecraft.webmagic.Request,us.codecraft.webmagic.Task]",2.0,0.0,0.0,1.0,41,0,1,3,11,0,0,2,0,0,0
C:\Users\syuuj\gitProject\webmagic\webmagic-core\src\main\java\us\codecraft\webmagic\selector\Selectors.java,us.codecraft.webmagic.selector.Selectors,./1[java.lang.String],0.0,0.0,-1.0,0.0,23,$/1[java.lang.String],4,1,1,3,1,0,1,0,0,0,./1[java.lang.String],0.0,0.0,-1.0,0.0,23,4,1,1,3,1,0,1,0,0,0
C:\Users\syuuj\gitProject\webmagic\webmagic-core\src\main\java\us\codecraft\webmagic\selector\Selectors.java,us.codecraft.webmagic.selector.Selectors,"./2[java.lang.String,java.lang.String]",0.0,0.0,-1.0,0.0,27,"$/2[java.lang.String,java.lang.String]",4,1,1,3,1,0,2,0,0,0,"./2[java.lang.String,java.lang.String]",0.0,0.0,-1.0,0.0,27,4,1,1,3,1,0,2,0,0,0
C:\Users\syuuj\gitProject\webmagic\webmagic-core\src\main\java\us\codecraft\webmagic\selector\Selectors.java,us.codecraft.webmagic.selector.Selectors,and/1[us.codecraft.webmagic.selector.Selector[]],0.0,0.0,-1.0,0.0,45,and/1[us.codecraft.webmagic.selector.Selector[]],1,1,1,3,1,0,1,0,0,0,and/1[us.codecraft.webmagic.selector.Selector[]],0.0,0.0,-1.0,0.0,45,1,1,1,3,1,0,1,0,0,0
C:\Users\syuuj\gitProject\webmagic\webmagic-core\src\main\java\us\codecraft\webmagic\selector\Selectors.java,us.codecraft.webmagic.selector.Selectors,or/1[us.codecraft.webmagic.selector.Selector[]],0.0,0.0,-1.0,0.0,49,or/1[us.codecraft.webmagic.selector.Selector[]],1,1,1,3,1,0,1,0,0,0,or/1[us.codecraft.webmagic.selector.Selector[]],0.0,0.0,-1.0,0.0,49,1,1,1,3,1,0,1,0,0,0
C:\Users\syuuj\gitProject\webmagic\webmagic-core\src\main\java\us\codecraft\webmagic\selector\Selectors.java,us.codecraft.webmagic.selector.Selectors,regex/1[java.lang.String],0.0,0.0,-1.0,0.0,11,regex/1[java.lang.String],4,1,1,3,1,0,1,0,0,0,regex/1[java.lang.String],0.0,0.0,-1.0,0.0,11,4,1,1,3,1,0,1,0,0,0
